PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30461337","Dienogest for Treatment of Endometriosis in Women: A 28-Week, Open-Label, Extension Study","Yu Q, Zhang S, Li H, Wang P, Zvolanek M, Ren X, Dong L, Lang J.","J Womens Health (Larchmt). 2019 Feb;28(2):170-177. doi: 10.1089/jwh.2018.7084. Epub 2018 Nov 21.","Yu Q","J Womens Health (Larchmt)","2019","2018/11/22","","","10.1089/jwh.2018.7084"
"30609970","Ovarian stimulation and endometriosis progression or recurrence: a systematic review","Somigliana E, Viganò P, Benaglia L, Busnelli A, Paffoni A, Vercellini P.","Reprod Biomed Online. 2019 Feb;38(2):185-194. doi: 10.1016/j.rbmo.2018.11.021. Epub 2018 Dec 23.","Somigliana E","Reprod Biomed Online","2019","2019/01/06","","","10.1016/j.rbmo.2018.11.021"
"18165396","Return of chronic pelvic pain from endometriosis after raloxifene treatment: a randomized controlled trial","Stratton P, Sinaii N, Segars J, Koziol D, Wesley R, Zimmer C, Winkel C, Nieman LK.","Obstet Gynecol. 2008 Jan;111(1):88-96. doi: 10.1097/01.AOG.0000297307.35024.b5.","Stratton P","Obstet Gynecol","2008","2008/01/01","PMC2755201","NIHMS144020","10.1097/01.AOG.0000297307.35024.b5"
"10992178","Postoperative administration of monophasic combined oral contraceptives after laparoscopic treatment of ovarian endometriomas: a prospective, randomized trial","Muzii L, Marana R, Caruana P, Catalano GF, Margutti F, Panici PB.","Am J Obstet Gynecol. 2000 Sep;183(3):588-92. doi: 10.1067/mob.2000.106817.","Muzii L","Am J Obstet Gynecol","2000","2000/09/19","","","10.1067/mob.2000.106817"
"35691460","An irreversible inhibitor of 17β-hydroxysteroid dehydrogenase type 1 inhibits estradiol synthesis in human endometriosis lesions and induces regression of the non-human primate endometriosis","Poirier D, Nyachieo A, Romano A, Roy J, Maltais R, Chai D, Delvoux B, Tomassetti C, Vanhie A.","J Steroid Biochem Mol Biol. 2022 Sep;222:106136. doi: 10.1016/j.jsbmb.2022.106136. Epub 2022 Jun 9.","Poirier D","J Steroid Biochem Mol Biol","2022","2022/06/12","","","10.1016/j.jsbmb.2022.106136"
"16246860","Excisional surgery versus ablative surgery for ovarian endometriomata: a Cochrane Review","Hart R, Hickey M, Maouris P, Buckett W, Garry R.","Hum Reprod. 2005 Nov;20(11):3000-7. doi: 10.1093/humrep/dei207.","Hart R","Hum Reprod","2005","2005/10/26","","","10.1093/humrep/dei207"
"28579409","Sclerotherapy in the management of ovarian endometrioma: systematic review and meta-analysis","Cohen A, Almog B, Tulandi T.","Fertil Steril. 2017 Jul;108(1):117-124.e5. doi: 10.1016/j.fertnstert.2017.05.015. Epub 2017 Jun 1.","Cohen A","Fertil Steril","2017","2017/06/06","","","10.1016/j.fertnstert.2017.05.015"
"37720929","Laparoscopic natural orifice specimen extraction colectomy versus conventional laparoscopic colorectal resection in patients with rectal endometriosis: a randomized, controlled trial","Dobó N, Márki G, Hudelist G, Csibi N, Brubel R, Ács N, Bokor A.","Int J Surg. 2023 Dec 1;109(12):4018-4026. doi: 10.1097/JS9.0000000000000728.","Dobó N","Int J Surg","2023","2023/09/18","PMC10720833","","10.1097/JS9.0000000000000728"
"30299482","Assessment of ovarian reserve after cystectomy versus 'one-step' laser vaporization in the treatment of ovarian endometrioma: a small randomized clinical trial","Candiani M, Ottolina J, Posadzka E, Ferrari S, Castellano LM, Tandoi I, Pagliardini L, Nocun A, Jach R.","Hum Reprod. 2018 Dec 1;33(12):2205-2211. doi: 10.1093/humrep/dey305.","Candiani M","Hum Reprod","2018","2018/10/10","PMC6238368","","10.1093/humrep/dey305"
"29944729","Systematic review and meta-analysis of complementary treatments for women with symptomatic endometriosis","Mira TAA, Buen MM, Borges MG, Yela DA, Benetti-Pinto CL.","Int J Gynaecol Obstet. 2018 Oct;143(1):2-9. doi: 10.1002/ijgo.12576. Epub 2018 Jul 9.","Mira TAA","Int J Gynaecol Obstet","2018","2018/06/27","","","10.1002/ijgo.12576"
"18556683","Anti-TNF-alpha treatment for deep endometriosis-associated pain: a randomized placebo-controlled trial","Koninckx PR, Craessaerts M, Timmerman D, Cornillie F, Kennedy S.","Hum Reprod. 2008 Sep;23(9):2017-23. doi: 10.1093/humrep/den177. Epub 2008 Jun 12.","Koninckx PR","Hum Reprod","2008","2008/06/17","PMC2517154","","10.1093/humrep/den177"
"39019388","The impact of metronidazole on pain persistence after fertility-sparing endometriosis surgery: METROFERT randomized study","Quevedo A, Parikh S, Reinstine J, Chamseddine P, Gaskins JT, Whalen C, Biscette S, Pasic RP.","Am J Obstet Gynecol. 2025 Jan;232(1):106.e1-106.e9. doi: 10.1016/j.ajog.2024.07.006. Epub 2024 Jul 15.","Quevedo A","Am J Obstet Gynecol","2025","2024/07/17","","","10.1016/j.ajog.2024.07.006"
"20357728","Laparoscopic surgery for the management of ovarian endometriomas","Mossa B, Ebano V, Tucci S, Rega C, Dolce E, Frega A, Marziani R.","Med Sci Monit. 2010 Apr;16(4):MT45-50.","Mossa B","Med Sci Monit","2010","2010/04/02","","",""
"12909493","Laparoscopic uterosacral ligament resection for dysmenorrhea associated with endometriosis: results of a randomized, controlled trial","Vercellini P, Aimi G, Busacca M, Apolone G, Uglietti A, Crosignani PG.","Fertil Steril. 2003 Aug;80(2):310-9. doi: 10.1016/s0015-0282(03)00613-7.","Vercellini P","Fertil Steril","2003","2003/08/12","","","10.1016/s0015-0282(03)00613-7"
"11687104","Laparoscopic surgery for pelvic pain associated with endometriosis","Jacobson TZ, Barlow DH, Garry R, Koninckx P.","Cochrane Database Syst Rev. 2001;(4):CD001300. doi: 10.1002/14651858.CD001300.","Jacobson TZ","Cochrane Database Syst Rev","2001","2001/11/01","","","10.1002/14651858.CD001300"
"32730989","Voiding Dysfunction after Colorectal Surgery for Endometriosis: A Systematic Review and Meta-analysis","Vesale E, Roman H, Moawad G, Benoit L, Touboul C, Darai E, Bendifallah S.","J Minim Invasive Gynecol. 2020 Nov-Dec;27(7):1490-1502.e3. doi: 10.1016/j.jmig.2020.07.019. Epub 2020 Jul 27.","Vesale E","J Minim Invasive Gynecol","2020","2020/07/31","","","10.1016/j.jmig.2020.07.019"
"34265271","Endometrioma surgery-a systematic review and meta-analysis of the effect on antral follicle count and anti-Müllerian hormone","Younis JS, Shapso N, Ben-Sira Y, Nelson SM, Izhaki I.","Am J Obstet Gynecol. 2022 Jan;226(1):33-51.e7. doi: 10.1016/j.ajog.2021.06.102. Epub 2021 Jul 13.","Younis JS","Am J Obstet Gynecol","2022","2021/07/15","","","10.1016/j.ajog.2021.06.102"
"28755422","Diagnosis and management of endometriosis: a systematic review of international and national guidelines","Hirsch M, Begum MR, Paniz É, Barker C, Davis CJ, Duffy J.","BJOG. 2018 Apr;125(5):556-564. doi: 10.1111/1471-0528.14838. Epub 2017 Nov 27.","Hirsch M","BJOG","2018","2017/07/30","","","10.1111/1471-0528.14838"
"23275012","Chinese medicine improves postoperative quality of life in endometriosis patients: a randomized controlled trial","Zhao RH, Liu Y, Tan Y, Hao ZP, Meng QW, Wang R, Long D, Ding YF, Song DR, Xu C, Ren ZZ, Yang YH, Wang AM.","Chin J Integr Med. 2013 Jan;19(1):15-21. doi: 10.1007/s11655-012-1196-6. Epub 2012 Dec 29.","Zhao RH","Chin J Integr Med","2013","2013/01/01","","","10.1007/s11655-012-1196-6"
"31997236","Chinese Medicine Sequential Therapy Improves Pregnancy Outcomes after Surgery for Endometriosis-Associated Infertility: A Multicenter Randomized Double-blind Placebo Parallel Controlled Clinical Trial","Zhao RH, Liu Y, Lu D, Wu Y, Wang XY, Li WL, Zeng C, Meng QW, Lian FM, Zhou J, Shi Y, Sun WW, Han Q, Tang Y, Shi G.","Chin J Integr Med. 2020 Feb;26(2):92-99. doi: 10.1007/s11655-019-3208-2. Epub 2020 Jan 29.","Zhao RH","Chin J Integr Med","2020","2020/01/31","","","10.1007/s11655-019-3208-2"
"37341141","Gonadotropin-releasing hormone analogues for endometriosis","Veth VB, van de Kar MM, Duffy JM, van Wely M, Mijatovic V, Maas JW.","Cochrane Database Syst Rev. 2023 Jun 21;6(6):CD014788. doi: 10.1002/14651858.CD014788.pub2.","Veth VB","Cochrane Database Syst Rev","2023","2023/06/21","PMC10283345","","10.1002/14651858.CD014788.pub2"
"28668150","Reevaluating response and failure of medical treatment of endometriosis: a systematic review","Becker CM, Gattrell WT, Gude K, Singh SS.","Fertil Steril. 2017 Jul;108(1):125-136. doi: 10.1016/j.fertnstert.2017.05.004.","Becker CM","Fertil Steril","2017","2017/07/03","PMC5494290","","10.1016/j.fertnstert.2017.05.004"
"27225336","Dienogest compared with gonadotropin-releasing hormone agonist after conservative surgery for endometriosis","Takaesu Y, Nishi H, Kojima J, Sasaki T, Nagamitsu Y, Kato R, Isaka K.","J Obstet Gynaecol Res. 2016 Sep;42(9):1152-8. doi: 10.1111/jog.13023. Epub 2016 May 26.","Takaesu Y","J Obstet Gynaecol Res","2016","2016/05/27","","","10.1111/jog.13023"
"38733102","Müllerian anomalies and endometriosis as potential explanatory models for the retrograde menstruation/implantation and the embryonic remnants/celomic metaplasia pathogenic theories: a systematic review and meta-analysis","Vercellini P, Salmeri N, Somigliana E, Piccini M, Caprara F, Viganò P, De Matteis S.","Hum Reprod. 2024 Jul 1;39(7):1460-1470. doi: 10.1093/humrep/deae086.","Vercellini P","Hum Reprod","2024","2024/05/11","PMC11962717","","10.1093/humrep/deae086"
"22930151","Comparative study between VEGF-A and CA-125 in diagnosis and follow-up of advanced endometriosis after conservative laparoscopic surgery","Mohamed ML, El Behery MM, Mansour SA.","Arch Gynecol Obstet. 2013 Jan;287(1):77-82. doi: 10.1007/s00404-012-2539-4. Epub 2012 Aug 29.","Mohamed ML","Arch Gynecol Obstet","2013","2012/08/30","","","10.1007/s00404-012-2539-4"
"22314873","Postoperative levonorgestrel-releasing intrauterine system for pelvic endometriosis-related pain: a randomized controlled trial","Tanmahasamut P, Rattanachaiyanont M, Angsuwathana S, Techatraisak K, Indhavivadhana S, Leerasiri P.","Obstet Gynecol. 2012 Mar;119(3):519-26. doi: 10.1097/AOG.0b013e31824264c3.","Tanmahasamut P","Obstet Gynecol","2012","2012/02/09","","","10.1097/AOG.0b013e31824264c3"
"37479520","Substituting a randomised placebo control group with a historical placebo control in an endometriosis pain trial: a case study re-evaluating trial data using historical control data from another trial","Sieverding M, Gerlinger C, Seitz C.","BMJ Open. 2023 Jul 21;13(7):e063188. doi: 10.1136/bmjopen-2022-063188.","Sieverding M","BMJ Open","2023","2023/07/21","PMC10364147","","10.1136/bmjopen-2022-063188"
"33904692","Endometriosis and its correlation with carcinoid tumor of the appendix: a systematic review","Villaescusa M, Andres MP, Amaral AC, Barbosa RN, Abrão MS.","Minerva Obstet Gynecol. 2021 Oct;73(5):606-613. doi: 10.23736/S2724-606X.21.04792-4. Epub 2021 Apr 27.","Villaescusa M","Minerva Obstet Gynecol","2021","2021/04/27","","","10.23736/S2724-606X.21.04792-4"
"10962639","Surgical management of endometriosis","Vercellini P, De Giorgi O, Pisacreta A, Pesole AP, Vicentini S, Crosignani PG.","Baillieres Best Pract Res Clin Obstet Gynaecol. 2000 Jun;14(3):501-23. doi: 10.1053/beog.1999.0088.","Vercellini P","Baillieres Best Pract Res Clin Obstet Gynaecol","2000","2000/08/30","","","10.1053/beog.1999.0088"
"38512699","A Systematic Review of the Psychosocial Impact of Endometriosis before and after Treatment","Rempert AN, Rempert TH, Liu A, Hernández A, Blanck J, Segars J, Singh B.","Reprod Sci. 2024 Jul;31(7):1828-1860. doi: 10.1007/s43032-024-01515-w. Epub 2024 Mar 21.","Rempert AN","Reprod Sci","2024","2024/03/21","PMC11216884","NIHMS1991402","10.1007/s43032-024-01515-w"
"37120704","Chinese Herbal Medicine, Alternative or Complementary, for Endometriosis-Associated Pain: A Meta-Analysis","Lin Y, Wu L, Zhao R, Chung PW, Wang CC.","Am J Chin Med. 2023;51(4):807-832. doi: 10.1142/S0192415X23500386. Epub 2023 Apr 29.","Lin Y","Am J Chin Med","2023","2023/04/29","","","10.1142/S0192415X23500386"
"12493057","A systematic review of the accuracy of ultrasound in the diagnosis of endometriosis","Moore J, Copley S, Morris J, Lindsell D, Golding S, Kennedy S.","Ultrasound Obstet Gynecol. 2002 Dec;20(6):630-4. doi: 10.1046/j.1469-0705.2002.00862.x.","Moore J","Ultrasound Obstet Gynecol","2002","2002/12/21","","","10.1046/j.1469-0705.2002.00862.x"
"25761587","Gonadotrophin-releasing hormone analogue or dienogest plus estradiol valerate to prevent pain recurrence after laparoscopic surgery for endometriosis: a multi-center randomized trial","Granese R, Perino A, Calagna G, Saitta S, De Franciscis P, Colacurci N, Triolo O, Cucinella G.","Acta Obstet Gynecol Scand. 2015 Jun;94(6):637-45. doi: 10.1111/aogs.12633. Epub 2015 Mar 29.","Granese R","Acta Obstet Gynecol Scand","2015","2015/03/13","","","10.1111/aogs.12633"
"32629225","Endometriosis and inflammatory bowel disease: A systematic review of the literature","Chiaffarino F, Cipriani S, Ricci E, Roncella E, Mauri PA, Parazzini F, Vercellini P.","Eur J Obstet Gynecol Reprod Biol. 2020 Sep;252:246-251. doi: 10.1016/j.ejogrb.2020.06.051. Epub 2020 Jun 26.","Chiaffarino F","Eur J Obstet Gynecol Reprod Biol","2020","2020/07/07","","","10.1016/j.ejogrb.2020.06.051"
"34872568","Impact of perioperative use of GnRH agonist or dienogest on ovarian reserve after cystectomy for endometriomas: a randomized controlled trial","Muraoka A, Osuka S, Yabuki A, Bayasula, Yoshihara M, Tanaka H, Sonehara R, Miyake N, Murakami M, Yoshita S, Nakanishi N, Nakamura T, Goto M, Iwase A, Kajiyama H.","Reprod Biol Endocrinol. 2021 Dec 6;19(1):179. doi: 10.1186/s12958-021-00866-2.","Muraoka A","Reprod Biol Endocrinol","2021","2021/12/07","PMC8647468","","10.1186/s12958-021-00866-2"
"38042477","A Prospective Study of Bladder Function Following Endometriosis Surgery With Up to Eight years Follow-up","Nguyen K, McCormack L, Deans R, Nesbitt-Hawes E, Knapman B, Li F, Lim C, Abbott JA.","J Minim Invasive Gynecol. 2024 Mar;31(3):205-212.e4. doi: 10.1016/j.jmig.2023.11.020. Epub 2023 Dec 1.","Nguyen K","J Minim Invasive Gynecol","2024","2023/12/02","","","10.1016/j.jmig.2023.11.020"
"30902761","Baseline severe constipation negatively impacts functional outcomes of surgery for deep endometriosis infiltrating the rectum: Results of the ENDORE randomized trial","Roman H, Bubenheim M, Huet E, Bridoux V, Zacharopoulou C, Collinet P, Daraï E, Tuech JJ.","J Gynecol Obstet Hum Reprod. 2019 Oct;48(8):625-629. doi: 10.1016/j.jogoh.2019.03.013. Epub 2019 Mar 19.","Roman H","J Gynecol Obstet Hum Reprod","2019","2019/03/24","","","10.1016/j.jogoh.2019.03.013"
"30001982","Comparison of dienogest effects upon 3,3'-diindolylmethane supplementation in models of endometriosis and clinical cases","Morales-Prieto DM, Herrmann J, Osterwald H, Kochhar PS, Schleussner E, Markert UR, Oettel M.","Reprod Biol. 2018 Sep;18(3):252-258. doi: 10.1016/j.repbio.2018.07.002. Epub 2018 Jul 9.","Morales-Prieto DM","Reprod Biol","2018","2018/07/14","","","10.1016/j.repbio.2018.07.002"
"22229256","Aromatase inhibitors or gonadotropin-releasing hormone agonists for the management of uterine adenomyosis: a randomized controlled trial","Badawy AM, Elnashar AM, Mosbah AA.","Acta Obstet Gynecol Scand. 2012 Apr;91(4):489-95. doi: 10.1111/j.1600-0412.2012.01350.x.","Badawy AM","Acta Obstet Gynecol Scand","2012","2012/01/11","","","10.1111/j.1600-0412.2012.01350.x"
"20618247","Levonorgestrel-releasing intrauterine system (Mirena) and Depot medroxyprogesterone acetate (Depoprovera) as long-term maintenance therapy for patients with moderate and severe endometriosis: a randomised controlled trial","Wong AY, Tang LC, Chin RK.","Aust N Z J Obstet Gynaecol. 2010 Jun;50(3):273-9. doi: 10.1111/j.1479-828X.2010.01152.x.","Wong AY","Aust N Z J Obstet Gynaecol","2010","2010/07/13","","","10.1111/j.1479-828X.2010.01152.x"
"35148732","Hyaluronic acid gel application versus ovarian suspension for prevention of ovarian adhesions during laparoscopic surgery on endometrioma: a double-blind randomized clinical trial","Chaichian S, Saadat Mostafavi SR, Mehdizadehkashi A, Najmi Z, Tahermanesh K, Ahmadi Pishkuhi M, Jesmi F, Moazzami B.","BMC Womens Health. 2022 Feb 11;22(1):33. doi: 10.1186/s12905-022-01607-2.","Chaichian S","BMC Womens Health","2022","2022/02/12","PMC8832808","","10.1186/s12905-022-01607-2"
"36268633","Approach to ureteral endometriosis: A single-center experience and meta-analysis of the literature","Alborzi S, Askary E, Poordast T, Alborzi S, Abadi AKH, Shoaii F.","J Obstet Gynaecol Res. 2023 Jan;49(1):75-89. doi: 10.1111/jog.15449. Epub 2022 Oct 21.","Alborzi S","J Obstet Gynaecol Res","2023","2022/10/21","","","10.1111/jog.15449"
"28701212","Is the oocyte quality affected by endometriosis? A review of the literature","Sanchez AM, Vanni VS, Bartiromo L, Papaleo E, Zilberberg E, Candiani M, Orvieto R, Viganò P.","J Ovarian Res. 2017 Jul 12;10(1):43. doi: 10.1186/s13048-017-0341-4.","Sanchez AM","J Ovarian Res","2017","2017/07/14","PMC5508680","","10.1186/s13048-017-0341-4"
"31881062","NAT2 gene polymorphisms and endometriosis risk: A PRISMA-compliant meta-analysis","Wei Z, Zhang M, Zhang X, Yi M, Xia X, Fang X.","PLoS One. 2019 Dec 27;14(12):e0227043. doi: 10.1371/journal.pone.0227043. eCollection 2019.","Wei Z","PLoS One","2019","2019/12/28","PMC6934289","","10.1371/journal.pone.0227043"
"31755674","Psychological stress levels in women with endometriosis: systematic review and meta-analysis of observational studies","Brasil DL, Montagna E, Trevisan CM, La Rosa VL, Laganà AS, Barbosa CP, Bianco B, Zaia V.","Minerva Med. 2020 Feb;111(1):90-102. doi: 10.23736/S0026-4806.19.06350-X. Epub 2019 Nov 12.","Brasil DL","Minerva Med","2020","2019/11/23","","","10.23736/S0026-4806.19.06350-X"
"25694383","Initiation of GnRH agonist treatment on 3-5 days postoperatively in endometriosis patients: a randomized controlled trial","Gong L, Zhang S, Han Y, Long Q, Zou S, Cao Y.","J Clin Pharmacol. 2015 Aug;55(8):848-53. doi: 10.1002/jcph.485. Epub 2015 Apr 1.","Gong L","J Clin Pharmacol","2015","2015/02/20","","","10.1002/jcph.485"
"27052442","Can postoperative GnRH agonist treatment prevent endometriosis recurrence? A meta-analysis","Zheng Q, Mao H, Xu Y, Zhao J, Wei X, Liu P.","Arch Gynecol Obstet. 2016 Jul;294(1):201-7. doi: 10.1007/s00404-016-4085-y. Epub 2016 Apr 6.","Zheng Q","Arch Gynecol Obstet","2016","2016/04/08","","","10.1007/s00404-016-4085-y"
"23567095","Combined surgical and hormone therapy for endometriosis is the most effective treatment: prospective, randomized, controlled trial","Alkatout I, Mettler L, Beteta C, Hedderich J, Jonat W, Schollmeyer T, Salmassi A.","J Minim Invasive Gynecol. 2013 Jul-Aug;20(4):473-81. doi: 10.1016/j.jmig.2013.01.019. Epub 2013 Apr 6.","Alkatout I","J Minim Invasive Gynecol","2013","2013/04/10","","","10.1016/j.jmig.2013.01.019"
"33310168","Excision versus Ablation for Management of Minimal to Mild Endometriosis: A Systematic Review and Meta-analysis","Burks C, Lee M, DeSarno M, Findley J, Flyckt R.","J Minim Invasive Gynecol. 2021 Mar;28(3):587-597. doi: 10.1016/j.jmig.2020.11.028. Epub 2020 Dec 10.","Burks C","J Minim Invasive Gynecol","2021","2020/12/14","","","10.1016/j.jmig.2020.11.028"
"10659911","Estroprogestin vs. gonadotrophin agonists plus estroprogestin in the treatment of endometriosis-related pelvic pain: a randomized trial. Gruppo Italiano per lo Studio dell'Endometriosi","Parazzini F, Di Cintio E, Chatenoud L, Moroni S, Ardovino I, Struzziero E, Falsetti L, Bianchi A, Bracco G, Pellegrini A, Bertulessi C, Romanini C, Zupi E, Massobrio M, Guidetti D, Troiano L, Beretta P, Franchi M.","Eur J Obstet Gynecol Reprod Biol. 2000 Jan;88(1):11-4. doi: 10.1016/s0301-2115(99)00131-1.","Parazzini F","Eur J Obstet Gynecol Reprod Biol","2000","2000/02/05","","","10.1016/s0301-2115(99)00131-1"
"33932683","Meta-analysis and systematic review to determine the optimal imaging modality for the detection of bladder deep endometriosis","Gerges B, Li W, Leonardi M, Mol BW, Condous G.","Eur J Obstet Gynecol Reprod Biol. 2021 Jun;261:124-133. doi: 10.1016/j.ejogrb.2021.04.030. Epub 2021 Apr 22.","Gerges B","Eur J Obstet Gynecol Reprod Biol","2021","2021/05/01","","","10.1016/j.ejogrb.2021.04.030"
"30908874","Influence of race/ethnicity on prevalence and presentation of endometriosis: a systematic review and meta-analysis","Bougie O, Yap MI, Sikora L, Flaxman T, Singh S.","BJOG. 2019 Aug;126(9):1104-1115. doi: 10.1111/1471-0528.15692. Epub 2019 Apr 29.","Bougie O","BJOG","2019","2019/03/26","","","10.1111/1471-0528.15692"
"24728145","Clinical efficacy of add-back therapy in treatment of endometriosis: a meta-analysis","Wu D, Hu M, Hong L, Hong S, Ding W, Min J, Fang G, Guo W.","Arch Gynecol Obstet. 2014 Sep;290(3):513-23. doi: 10.1007/s00404-014-3230-8. Epub 2014 Apr 13.","Wu D","Arch Gynecol Obstet","2014","2014/04/15","","","10.1007/s00404-014-3230-8"
"26778385","Variation in outcome reporting in endometriosis trials: a systematic review","Hirsch M, Duffy JMN, Kusznir JO, Davis CJ, Plana MN, Khan KS; International Collaboration to Harmonize Outcomes and Measures for Endometriosis.","Am J Obstet Gynecol. 2016 Apr;214(4):452-464. doi: 10.1016/j.ajog.2015.12.039. Epub 2016 Jan 15.","Hirsch M","Am J Obstet Gynecol","2016","2016/01/19","","","10.1016/j.ajog.2015.12.039"
"11779591","Cyproterone acetate versus a continuous monophasic oral contraceptive in the treatment of recurrent pelvic pain after conservative surgery for symptomatic endometriosis","Vercellini P, De Giorgi O, Mosconi P, Stellato G, Vicentini S, Crosignani PG.","Fertil Steril. 2002 Jan;77(1):52-61. doi: 10.1016/s0015-0282(01)02951-x.","Vercellini P","Fertil Steril","2002","2002/01/10","","","10.1016/s0015-0282(01)02951-x"
"36703173","Endometriosis of the skeletal muscular system (ESMS): a systematic review","Ye H, Shen C, Quan Q, Xi M, Li L.","BMC Womens Health. 2023 Jan 26;23(1):37. doi: 10.1186/s12905-023-02184-8.","Ye H","BMC Womens Health","2023","2023/01/26","PMC9878923","","10.1186/s12905-023-02184-8"
"39544239","MMP-9 as a clinical marker for endometriosis: a meta-analysis and bioinformatics analysis","Huang Q, Song Y, Lei X, Huang H, Nong W.","Front Endocrinol (Lausanne). 2024 Oct 31;15:1475531. doi: 10.3389/fendo.2024.1475531. eCollection 2024.","Huang Q","Front Endocrinol (Lausanne)","2024","2024/11/15","PMC11560754","","10.3389/fendo.2024.1475531"
"33549312","Impact of antibiotic therapy on the rate of negative test results for chronic endometritis: a prospective randomized control trial","Song D, He Y, Wang Y, Liu Z, Xia E, Huang X, Xiao Y, Li TC.","Fertil Steril. 2021 Jun;115(6):1549-1556. doi: 10.1016/j.fertnstert.2020.12.019. Epub 2021 Feb 3.","Song D","Fertil Steril","2021","2021/02/07","","","10.1016/j.fertnstert.2020.12.019"
"10899492","Efficacy of medroxyprogesterone treatment in infertile women with endometriosis: a prospective, randomized, placebo-controlled study","Harrison RF, Barry-Kinsella C.","Fertil Steril. 2000 Jul;74(1):24-30. doi: 10.1016/s0015-0282(00)00577-x.","Harrison RF","Fertil Steril","2000","2000/07/19","","","10.1016/s0015-0282(00)00577-x"
"24996447","Post-laparoscopic oral contraceptive combined with Chinese herbal mixture in treatment of infertility and pain associated with minimal or mild endometriosis: a randomized controlled trial","Zhu S, Liu D, Huang W, Wang Q, Wang Q, Zhou L, Feng G.","BMC Complement Altern Med. 2014 Jul 5;14:222. doi: 10.1186/1472-6882-14-222.","Zhu S","BMC Complement Altern Med","2014","2014/07/06","PMC4087198","","10.1186/1472-6882-14-222"
"28762057","Catamenial pneumothorax since introduction of video-assisted thoracoscopic surgery : A systematic review","Bricelj K, Srpčič M, Ražem A, Snoj Ž.","Wien Klin Wochenschr. 2017 Oct;129(19-20):717-726. doi: 10.1007/s00508-017-1237-4. Epub 2017 Jul 31.","Bricelj K","Wien Klin Wochenschr","2017","2017/08/02","","","10.1007/s00508-017-1237-4"
"15294376","The treatment with a COX-2 specific inhibitor is effective in the management of pain related to endometriosis","Cobellis L, Razzi S, De Simone S, Sartini A, Fava A, Danero S, Gioffrè W, Mazzini M, Petraglia F.","Eur J Obstet Gynecol Reprod Biol. 2004 Sep 10;116(1):100-2. doi: 10.1016/j.ejogrb.2004.02.007.","Cobellis L","Eur J Obstet Gynecol Reprod Biol","2004","2004/08/06","","","10.1016/j.ejogrb.2004.02.007"
"34352799","Does Endometriosis Disturb Mental Health and Quality of Life? A Systematic Review and Meta-Analysis","Wang Y, Li B, Zhou Y, Wang Y, Han X, Zhang S, He Z, Ouyang L.","Gynecol Obstet Invest. 2021;86(4):315-335. doi: 10.1159/000516517. Epub 2021 Aug 5.","Wang Y","Gynecol Obstet Invest","2021","2021/08/05","","","10.1159/000516517"
"38551430","A Meta-analysis of the Efficacy and Safety of Traditional Chinese Medicine in Treating Endometriosis","Huang H, Lin Y, Ye H.","Altern Ther Health Med. 2024 Dec;30(12):456-464.","Huang H","Altern Ther Health Med","2024","2024/03/29","","",""
"35016430","Systematic review and meta-analysis of traditional Chinese medicine compound in treating infertility caused by endometriosis","Dong P, Ling L, Hu L.","Ann Palliat Med. 2021 Dec;10(12):12631-12642. doi: 10.21037/apm-21-3425.","Dong P","Ann Palliat Med","2021","2022/01/12","","","10.21037/apm-21-3425"
"32340075","Laparoscopic ablation or excision with helium thermal coagulator versus electrodiathermy for the treatment of mild-to-moderate endometriosis: randomised controlled trial","Misra G, Sim J, El-Gizawy Z, Watts K, Jerreat S, Coia T, Ritchie J, O'Brien S.","BJOG. 2020 Nov;127(12):1528-1535. doi: 10.1111/1471-0528.16279. Epub 2020 May 31.","Misra G","BJOG","2020","2020/04/28","","","10.1111/1471-0528.16279"
"35442833","Role of fluorescence imaging for intraoperative intestinal assessment in gynecological surgery: a systematic review","Spagnolo E, Zapardiel I, Gorostidi M.","Minim Invasive Ther Allied Technol. 2022 Oct;31(7):992-999. doi: 10.1080/13645706.2022.2064715. Epub 2022 Apr 20.","Spagnolo E","Minim Invasive Ther Allied Technol","2022","2022/04/20","","","10.1080/13645706.2022.2064715"
"21901713","Acupuncture for pain in endometriosis","Zhu X, Hamilton KD, McNicol ED.","Cochrane Database Syst Rev. 2011 Sep 7;2011(9):CD007864. doi: 10.1002/14651858.CD007864.pub2.","Zhu X","Cochrane Database Syst Rev","2011","2011/09/09","PMC10010596","","10.1002/14651858.CD007864.pub2"
"38579545","Efficacy and safety of dienogest in the treatment of deep infiltrating endometriosis: A meta-analysis","Wu H, Liu JJ, Ye ST, Liu J, Li N.","Eur J Obstet Gynecol Reprod Biol. 2024 Jun;297:40-49. doi: 10.1016/j.ejogrb.2024.03.032. Epub 2024 Mar 27.","Wu H","Eur J Obstet Gynecol Reprod Biol","2024","2024/04/05","","","10.1016/j.ejogrb.2024.03.032"
"35128434","Systematic review of patient-specific pre-operative predictors of pain improvement to endometriosis surgery","Ball E, Karavadra B, Kremer-Yeatman BJ, Mustard C, Lee KM, Bhogal S, Dodds J, Horne AW, Allotey J, Rivas C.","Reprod Fertil. 2021 Mar 3;2(1):69-80. doi: 10.1530/RAF-20-0057. eCollection 2021 Jan.","Ball E","Reprod Fertil","2021","2022/02/07","PMC8812445","","10.1530/RAF-20-0057"
